ID,Class name,Priority,Time spent in system [s],Time spent in queue [s],Wyleczony,Był w tylu systemach,System na którym skończył
0,Child,Medium,1.4000000000000001,1.4000000000000001,True,3,70,7
1,Adult,Medium,1.4000000000000001,0.4,True,3,70,7
2,Child,Medium,1.6000000000000003,1.6000000000000003,True,3,70,7
3,Adult,Low,1.7000000000000004,0.7,True,3,70,7
4,Adult,Medium,2.700000000000001,0.7,True,4,70,7
5,Elder,Medium,1.3,0.30000000000000004,True,3,70,7
6,Adult,Low,1.4000000000000001,0.4,True,3,70,7
7,Elder,Medium,3.3000000000000016,1.3,True,4,70,7
8,Adult,Low,1.4000000000000001,0.4,True,3,70,7
9,Adult,Low,1.6000000000000003,0.4,True,3,70,7
10,Adult,Medium,1.6000000000000003,0.6,True,3,70,7
11,Adult,Low,8.999999999999984,6.099999999999994,True,5,70,7
12,Elder,High,1.4000000000000001,0.4,True,3,70,7
13,Adult,High,1.4000000000000001,0.4,True,3,70,7
14,Child,Medium,2.9000000000000012,1.9000000000000006,True,4,70,7
15,Child,High,1.5000000000000002,1.5000000000000002,True,3,70,7
16,Adult,Low,1.5000000000000002,0.5,True,3,70,7
17,Adult,High,2.1000000000000005,1.0999999999999999,True,3,70,7
18,Adult,Low,1.6000000000000003,0.4,True,3,70,7
19,Child,Medium,1.7000000000000004,1.7000000000000004,True,3,70,7
20,Child,Medium,3.1000000000000014,2.1000000000000005,True,4,70,7
21,Adult,High,1.9000000000000006,0.9999999999999999,True,3,70,7
22,Elder,Medium,1.7000000000000004,0.7999999999999999,True,3,70,7
23,Child,Medium,2.1000000000000005,2.1000000000000005,True,3,70,7
24,Child,Medium,2.1000000000000005,2.1000000000000005,True,3,70,7
25,Elder,High,1.4000000000000001,0.4,True,3,70,7
26,Child,Medium,2.500000000000001,2.500000000000001,True,3,70,7
27,Child,High,4.000000000000002,2.800000000000001,True,4,70,7
28,Elder,Medium,2.500000000000001,1.6000000000000003,True,3,70,7
29,Elder,Low,1.5000000000000002,0.5,True,3,70,7
30,Child,High,2.3000000000000007,2.3000000000000007,True,3,70,7
31,Child,Medium,1.5000000000000002,1.5000000000000002,True,3,70,7
32,Elder,Medium,1.6000000000000003,0.6,True,3,70,7
33,Elder,Low,2.3000000000000007,1.3,True,3,70,7
34,Child,Medium,1.6000000000000003,1.6000000000000003,True,3,70,7
35,Elder,High,1.6000000000000003,0.6,True,3,70,7
36,Elder,Medium,1.7000000000000004,0.7,True,3,70,7
37,Adult,High,2.0000000000000004,0.9999999999999999,True,3,70,7
38,Child,Medium,2.1000000000000005,2.1000000000000005,True,3,70,7
39,Adult,Low,2.1000000000000005,1.0999999999999999,True,3,70,7
40,Elder,Low,3.0000000000000013,0.9999999999999999,True,4,70,7
41,Adult,Low,1.9000000000000006,0.7,True,3,70,7
42,Adult,Medium,3.1000000000000014,1.9000000000000006,True,3,70,7
43,Child,Medium,5.999999999999995,4.799999999999999,True,5,70,7
44,Adult,Low,1.5000000000000002,0.5,True,3,70,7
45,Child,High,1.8000000000000005,1.8000000000000005,True,3,70,7
46,Child,Medium,2.800000000000001,2.800000000000001,True,3,70,7
47,Adult,Low,5.099999999999998,3.900000000000002,True,3,70,7
48,Elder,High,1.8000000000000005,0.7999999999999999,True,3,70,7
49,Adult,Low,2.1000000000000005,1.0999999999999999,True,3,70,7
50,Elder,Medium,6.999999999999991,5.999999999999995,True,4,70,7
51,Child,Medium,2.1000000000000005,2.1000000000000005,True,3,70,7
52,Elder,High,2.2000000000000006,1.2,True,3,70,7
53,Adult,Low,3.600000000000002,1.6000000000000003,True,4,70,7
54,Elder,Low,18.099999999999987,16.09999999999996,True,4,70,7
55,Elder,Medium,1.9000000000000006,0.8999999999999999,True,3,70,7
56,Child,Medium,1.7000000000000004,1.7000000000000004,True,3,70,7
57,Elder,Medium,4.000000000000002,2.0000000000000004,True,4,70,7
58,Elder,Low,1.6000000000000003,0.6,True,3,70,7
59,Child,High,3.4000000000000017,2.400000000000001,True,4,70,7
60,Child,Medium,2.3000000000000007,2.3000000000000007,True,3,70,7
61,Elder,High,2.500000000000001,1.5000000000000002,True,3,70,7
62,Child,High,3.2000000000000015,3.2000000000000015,True,3,70,7
63,Adult,Low,4.799999999999999,2.9000000000000012,True,4,70,7
64,Elder,Medium,3.700000000000002,2.700000000000001,True,3,70,7
65,Child,High,3.4000000000000017,3.4000000000000017,True,3,70,7
66,Adult,Low,2.1000000000000005,1.0999999999999999,True,3,70,7
67,Elder,Medium,26.200000000000102,25.200000000000088,False,3,22,7
68,Elder,Medium,6.199999999999994,3.2000000000000015,True,5,70,7
69,Child,Medium,3.5000000000000018,3.5000000000000018,True,3,70,7
70,Elder,High,2.3000000000000007,1.0999999999999999,True,3,70,7
71,Elder,Medium,2.400000000000001,1.4000000000000001,True,3,70,7
72,Adult,Low,15.499999999999961,14.499999999999964,True,3,70,7
73,Elder,Medium,2.2000000000000006,1.2,True,3,70,7
74,Adult,Low,7.39999999999999,6.399999999999993,True,4,70,7
75,Child,Medium,2.500000000000001,2.500000000000001,True,3,70,7
76,Adult,Low,6.199999999999994,4.200000000000001,True,4,70,7
77,Child,Medium,2.3000000000000007,2.3000000000000007,True,3,70,7
78,Child,High,4.100000000000001,2.9000000000000012,True,4,70,7
79,Adult,High,2.0000000000000004,0.7999999999999999,True,3,70,7
80,Elder,Medium,2.700000000000001,0.7,True,4,70,7
81,Adult,High,1.7000000000000004,0.7,True,3,70,7
82,Elder,Low,7.39999999999999,5.399999999999997,True,4,70,7
83,Elder,Medium,2.3000000000000007,1.3,True,3,70,7
84,Elder,Low,3.5000000000000018,2.500000000000001,True,3,70,7
85,Adult,Medium,5.399999999999997,4.4,True,3,70,7
86,Elder,Medium,2.2000000000000006,1.2,True,3,70,7
87,Adult,Low,3.4000000000000017,2.400000000000001,True,3,70,7
88,Elder,High,3.4000000000000017,1.4000000000000001,True,4,70,7
89,Elder,High,4.5,2.500000000000001,True,4,70,7
90,Adult,Low,12.99999999999997,10.999999999999977,True,4,70,7
91,Child,High,1.8000000000000005,1.8000000000000005,True,3,70,7
92,Adult,High,1.7000000000000004,0.7,True,3,70,7
93,Adult,High,3.1000000000000014,2.1000000000000005,True,3,70,7
94,Elder,Medium,4.799999999999999,3.800000000000002,True,3,70,7
95,Adult,Medium,5.599999999999996,4.6,True,3,70,7
96,Adult,Low,2.0000000000000004,0.7999999999999999,True,3,70,7
97,Child,Medium,2.1000000000000005,2.1000000000000005,True,3,70,7
98,Elder,High,2.400000000000001,1.4000000000000001,True,3,70,7
99,Elder,Medium,5.899999999999995,4.999999999999998,True,3,70,7
100,Child,High,3.1000000000000014,1.9000000000000006,True,4,70,7
101,Adult,Medium,7.699999999999989,6.699999999999992,True,3,70,7
102,Adult,Low,13.09999999999997,11.099999999999977,True,4,70,7
103,Elder,Low,4.799999999999999,3.800000000000002,True,3,70,7
104,Elder,Medium,2.400000000000001,1.4000000000000001,True,3,70,7
105,Child,Medium,2.0000000000000004,2.0000000000000004,True,3,70,7
106,Elder,Low,11.299999999999976,10.29999999999998,True,3,70,7
107,Adult,Medium,3.3000000000000016,2.1000000000000005,True,3,70,7
108,Adult,Low,1.8000000000000005,0.7999999999999999,True,3,70,7
109,Child,High,1.6000000000000003,1.6000000000000003,True,3,70,7
110,Adult,High,6.499999999999993,5.4999999999999964,True,4,70,7
111,Adult,Low,17.299999999999976,15.399999999999961,False,4,20,6
112,Child,Medium,1.5000000000000002,1.5000000000000002,True,3,70,7
113,Elder,Low,10.999999999999977,9.99999999999998,True,4,70,7
114,Elder,Low,11.399999999999975,10.399999999999979,True,3,70,7
115,Child,High,3.600000000000002,2.600000000000001,True,4,70,7
116,Adult,Low,1.6000000000000003,0.6,True,3,70,7
117,Adult,Low,1.6000000000000003,0.6,True,3,70,7
118,Adult,Low,15.299999999999962,14.299999999999965,True,4,70,7
119,Adult,Low,15.99999999999996,14.999999999999963,False,3,60,6
120,Elder,Low,15.69999999999996,14.699999999999964,False,3,20,6
121,Adult,Medium,2.0000000000000004,0.7999999999999999,True,3,70,7
122,Elder,Low,2.3000000000000007,1.3,True,3,70,7
123,Child,Medium,2.0000000000000004,2.0000000000000004,True,3,70,7
